odbid,start_date,max_seats,max_arr
558,2006-09-01,10,7020
559,2006-09-01,6,1368
560,2006-10-01,1,420
561,2007-01-01,170,72666
562,2006-10-01,21,12540
564,2006-10-01,4,2256
568,2006-10-01,45,23274
569,2006-10-01,1,324
570,2006-10-01,3,1692
571,2006-10-01,3,1260
573,2006-10-01,2,456
574,2006-10-01,53,31164
575,2006-10-01,7,2940
577,2006-10-01,7,4620
579,2006-10-01,2,1560
583,2006-10-01,10,7800
584,2006-10-01,6,2448
585,2006-12-01,14,5896.799999999999
589,2006-10-01,10,4212
590,2006-11-01,4,2640
593,2006-11-01,4,912
597,2006-12-01,100,62790
599,2006-11-01,40,24624
606,2006-11-01,20,8424
615,2006-11-01,12,5616
616,2006-11-01,0,0
618,2006-11-01,32,17325
619,2006-11-01,15,3078
620,2006-11-01,6,2520
622,2006-11-01,4,2559.6
626,2006-12-01,33,15592.5
630,2006-11-01,30,21060
636,2006-11-01,1,588
637,2006-12-01,7,4158
638,2007-01-01,47,24181.5
640,2006-12-01,25,17550
642,2006-10-01,40,20139
644,2006-12-01,25,13446
646,2006-12-01,1,660
650,2006-12-01,3,684
655,2006-12-01,3,972
660,2006-12-01,16,9240
661,2006-12-01,65,22696.8
662,2007-02-01,219,96579
663,2007-01-01,1,420
664,2006-12-01,27,18954
667,2007-01-01,4,912
677,2007-01-01,15,3420
685,2007-01-01,30,12690
690,2007-01-01,5,1890
695,2007-04-01,89,44482
705,2007-01-01,11,2257.2
715,2007-02-01,36,17703
717,2007-02-01,1,228
720,2007-02-01,10,5880
730,2007-02-01,5,2430
735,2007-02-01,2,1404
746,2007-02-01,5,1566
747,2007-02-01,1,228
770,2007-03-01,75,40936.5
771,2007-03-01,22,15015
772,2007-03-01,25,14700
774,2007-03-01,56,22095
777,2007-03-01,23,9687.6
779,2007-05-01,35,17010
782,2007-03-01,5,2175
787,2007-03-01,20,14040
788,2007-03-01,1,228
792,2007-03-01,10,5226
793,2007-03-01,2,840
796,2007-04-01,6,2610
799,2007-04-01,5,1620
801,2007-04-01,16,6720
807,2007-03-01,20,11550
808,2007-03-01,40,22537.14
809,2007-04-01,30,12285
812,2007-04-01,32,14910
813,2007-03-01,4,1944
814,2007-03-01,4,1872
822,2007-03-01,10,3360
827,2007-05-01,10,2280
832,2007-04-01,23,8694
833,2007-04-01,23,15732
837,2007-05-01,12,3888
838,2007-04-01,12,5568
839,2007-04-01,44,20857.5
847,2007-05-01,98,35301
848,2007-05-01,15,9024.779999999999
849,2007-04-01,40,15120
850,2007-04-01,18,10152
859,2007-05-01,2,1231.2
863,2007-05-01,17,3488.4
864,2007-05-01,51,19582.5
872,2007-05-01,1,324
873,2007-05-01,8,3369.6
877,2007-05-01,7,4914
887,2007-05-01,1,540
892,2007-05-01,27,13122
897,2007-05-01,45,31590
902,2007-05-01,135,45360
903,2007-05-01,212,75417.07
904,2007-05-01,25,13680
907,2007-06-01,10,4680
912,2007-06-01,5,1215
922,2007-06-01,12,5616
923,2007-06-01,13,5460
928,2007-06-01,34,23712.010000000002
932,2007-06-01,5,1620
933,2007-06-01,3,684
937,2007-06-01,19,13338
938,2007-06-01,95,45391.5
947,2007-06-01,8,3888
948,2007-06-01,0,0
958,2007-06-01,35,20085
961,2007-06-01,35,13081.5
962,2007-06-01,36,16800
963,2007-06-01,1147,195647
967,2007-07-01,670,276371
972,2007-07-01,2,583.2
977,2007-07-01,6,1368
982,2007-07-01,9,5238
983,2007-07-01,28,10584
988,2007-07-01,33,16038
992,2007-07-01,15,9900
1007,2007-07-01,4,1166.4
1012,2007-08-01,20,15e3
1013,2007-08-01,5,2430
1014,2007-07-01,35,17010
1028,2007-07-01,100,34650
1032,2007-08-01,40,12600
1037,2007-08-01,37,21978
1042,2007-08-01,8,3744
1047,2007-08-01,15,7614
1057,2007-08-01,490,122640
1062,2007-08-01,25,10237.5
1067,2007-08-01,16,6090
1072,2007-08-01,2,840
1077,2007-08-01,36,14904
1079,2007-07-01,27,13543.199999999999
1080,2007-08-01,85,42483
1082,2007-09-01,8,5616
1087,2007-08-01,30,12285
1102,2007-09-01,19,6732
1107,2007-09-01,45,22822.5
1124,2007-09-01,14,9828
1126,2007-09-01,30,15900
1127,2007-09-01,240,110428
1132,2007-09-01,150,70560
1133,2007-09-01,25,15253.130000000001
1135,2007-09-01,12,5670
1136,2007-09-01,20,8400
1137,2007-09-01,25,13779
1138,2007-09-01,16,8310
1157,2007-09-01,5,2775
1172,2007-10-01,35,21172.5
1178,2007-10-01,5,2175
1192,2007-10-01,14,8670
1197,2007-10-01,27,10386
1198,2007-10-01,100,38683.28
1202,2007-10-01,3,1404
1203,2007-10-01,38,19008
1204,2008-12-01,7,2940
1207,2007-10-01,27,16704
1213,2007-10-01,15,7650
1217,2007-10-01,20,9510
1222,2007-10-01,13,5082
1227,2007-11-01,10,7020
1232,2007-10-01,110,47520
1247,2007-11-01,10,5550
1252,2007-11-01,25,8280
1257,2007-11-01,75,27877.5
1258,2007-11-01,15,9081.43
1264,2007-11-01,23,13330.5
1273,2007-11-01,275,142687.5
1278,2007-11-01,35,10980
1279,2007-11-01,15,3078
1280,2007-11-01,13,7644
1283,2007-11-01,18,7830
1288,2007-11-01,10,2430
1293,2007-11-01,100,45570
1303,2007-11-01,46,16240.5
1308,2011-09-01,25,2500
1319,2007-12-01,4,1149
1323,2007-12-01,7,2520
1328,2007-11-01,150,57915
1338,2007-12-01,10,6600
1339,2007-12-01,3,1665
1343,2007-12-01,190,84584
1348,2007-12-01,38,19938
1358,2007-12-01,100,62400
1364,2007-12-01,14,5880
1373,2007-12-01,10,4275
1378,2007-12-01,215,100516
1383,2007-12-01,85,42483
1388,2007-12-01,300,9e4
1393,2007-12-01,14,5790
1398,2008-01-01,75,25987.51
1399,2007-12-01,500,209475
1400,2007-12-01,60,22050
1401,2007-12-01,10,2430
1403,2007-12-01,16,6630
1404,2007-12-01,50,21172.5
1408,2007-12-01,65,28911
1409,2008-01-01,11,3690
1413,2008-01-01,125,46042.51
1418,2008-01-01,12,2664
1420,2007-12-01,25,8790
1438,2008-01-01,7,1365
1444,2008-01-01,60,22050
1445,2008-01-01,4,780
1453,2008-01-01,3,585
1468,2008-01-01,10,2100
1469,2008-01-01,15,6300
1473,2008-01-01,6,1170
1474,2008-01-01,14,3630
1475,2008-01-01,85,35617.5
1476,2008-01-01,625,123375.06
1478,2008-01-01,20,8550
1479,2008-01-01,25,12600
1483,2008-01-01,100,36477
1484,2008-01-01,8,4704
1485,2008-01-01,4,1680
1486,2008-01-01,15,4050
1498,2008-02-01,20,8400
1503,2008-01-01,150,54768
1508,2008-02-01,10,2700
1513,2008-02-01,53,19477.5
1523,2008-02-01,10,2700
1524,2008-02-01,2,1080
1528,2008-02-01,35,13230
1534,2008-02-01,25,7950
1538,2008-02-01,125,55687.5
1543,2008-02-01,6,3240
1544,2008-02-01,9,4860
1548,2008-02-01,8,4320
1553,2008-02-01,30,11340
1554,2008-02-01,96,33264
1558,2008-02-01,69,28560
1563,2008-02-01,26,9450
1568,2008-02-01,11,3120
1573,2008-02-01,35,12915
1583,2008-02-01,10,4200
1584,2008-02-01,145,47220
1585,2008-02-01,80,29242.5
1588,2008-03-01,7,2940
1593,2008-03-01,7,2190
1598,2008-03-01,42,15960
1603,2008-03-01,45,17010
1604,2008-03-01,2,840
1605,2008-03-01,130,54660
1613,2008-03-01,42,15876
1618,2008-03-01,20,6900
1628,2008-03-01,10,4200
1633,2008-03-01,10,2700
1643,2008-03-01,150,72765
1649,2008-03-01,49,25284
1653,2008-03-01,32,12096
1654,2008-03-01,140,66834
1658,2008-03-01,22,12936
1663,2008-03-01,100,44550
1668,2008-03-01,37,17982
1678,2008-04-01,25,12960
1686,2008-03-01,60,22387.5
1693,2008-04-01,10,2700
1698,2008-04-01,2,1080
1703,2008-04-01,150,55440
1708,2008-01-01,60,22050
1713,2008-04-01,10,4200
1714,2008-04-01,13,7644
1718,2008-04-01,5,3300
1728,2008-04-01,8,4320
1736,2008-04-01,15,6300
1743,2008-04-01,30,12600
1753,2008-04-01,3,1260
1754,2008-04-01,5,1350
1755,2008-04-01,7,2940
1758,2008-04-01,75,35100
1768,2008-04-01,90,28976.2
1773,2008-05-01,29,10962
1778,2008-05-01,15,4800
1783,2008-05-01,13,3960
1788,2008-05-01,15,8100
1793,2008-05-01,50,18375
1798,2008-05-01,50,18375
1803,2008-05-01,14,5880
1804,2008-05-01,22,9240
1808,2008-05-01,255,119952
1818,2008-05-01,680,244608
1819,2008-05-01,53,27268.5
1822,2008-05-01,40,13620
1823,2008-05-01,3,810
1824,2008-05-01,5,1500
1825,2008-05-01,17,7680
1826,2008-05-01,36,17464
1827,2008-05-01,23,12420
1828,2008-05-01,23,12420
1834,2008-05-01,100,33600
1835,2008-06-01,75,27888
1838,2008-06-01,18,6060
1843,2008-06-01,16,8640
1848,2008-05-01,1,420
1853,2008-05-01,36,13608
1854,2008-06-01,35,17010
1864,2008-06-01,7,3780
1865,2008-06-01,10,2700
1866,2008-06-01,25,9450
1868,2008-06-01,50,15405.99
1873,2008-06-01,4,1560
1878,2008-06-01,25,10800
1884,2008-06-01,19,7980
1893,2008-06-01,25,4200
1894,2008-06-01,2,540
1898,2008-06-01,8,3360
1903,2008-06-01,42,16800
1908,2008-06-01,10,2700
1913,2008-06-01,7,3780
1914,2008-06-01,5,2100
1916,2008-06-01,7,2940
1917,2008-06-01,15,8100
1919,2008-06-01,50,23625
1921,2008-06-01,15,8100
1922,2008-06-01,7,2940
1923,2008-06-01,25,9450
1924,2008-06-01,40,18900
1928,2008-06-01,25,8370
1939,2008-06-01,17,7680
1940,2008-06-01,26,9828
1942,2008-06-01,100,36120
1949,2008-06-01,200,66990
1955,2008-06-01,150,38418.66
1958,2008-07-01,32,16470
1973,2008-07-01,50,17850
1978,2008-07-01,13,7020
1983,2008-07-01,10,4200
1988,2008-07-01,80,29295
1994,2008-07-01,25,6720
1998,2008-07-01,16,8640
1999,2008-07-01,4,2160
2008,2008-07-01,57,29267.7
2011,2008-07-01,350,171750
2013,2008-07-01,44,23284.800000000003
2018,2008-07-01,12,3414
2023,2008-07-01,10,3900
2024,2008-07-01,40,21168
2029,2008-07-01,30,15876
2033,2008-08-01,93,42940
2038,2008-08-01,123,57859.200000000004
2048,2008-08-01,6,2520
2053,2008-08-01,15,8100
2065,2008-08-01,18,10380
2066,2008-08-01,8,3360
2069,2008-08-01,115,55786.5
2071,2008-09-01,4,1860
2078,2008-08-01,7,2940
2083,2008-08-01,75,27352.5
2095,2008-08-01,17,5461.5
2096,2008-08-01,24,10080
2097,2008-08-01,15,6300
2098,2008-08-01,2,540
2100,2008-08-01,43,16254
2105,2008-08-01,11,4620
2110,2008-08-01,6,3240
2111,2008-08-01,16,8796
2112,2008-08-01,5,2700
2115,2008-08-01,26,14994
2116,2008-08-01,25,7950
2120,2008-08-01,50,19981.5
2121,2008-09-01,21,9840
2130,2008-09-01,84,30393
2135,2008-09-01,32,15552
2140,2008-09-01,20,8400
2145,2008-09-01,6,2070
2150,2008-09-01,20,9030
2160,2008-09-01,95,48877.5
2162,2008-09-01,35,16050
2166,2008-09-01,15,4642.5
2170,2008-09-01,15,6300
2175,2008-09-01,316,131138.7
2185,2008-09-01,1928,766282
2190,2008-09-01,7,2730
2191,2008-09-01,17,5640
2192,2008-09-01,94,62985
2205,2008-09-01,45,22441
2210,2008-09-01,25,17550
2215,2008-09-01,128,62092.8
2220,2008-09-01,5,1500
2221,2008-09-01,9,2430
2225,2008-09-01,45,10899.99
2230,2008-09-01,80,37867.5
2231,2008-09-01,200,86400
2235,2008-09-01,120,32340
2240,2008-09-01,20,6900
2245,2008-09-01,25,9450
2246,2008-09-01,120,43440
2249,2008-09-01,10,3900
2250,2008-09-01,200,87075
2251,2008-09-01,13,4199.99
2252,2008-09-01,68,24276
2255,2008-09-01,70,33075
2257,2008-09-01,45,15876
2258,2008-09-01,30,15876
2259,2008-09-01,18,7560
2265,2008-10-01,131,58360.5
2267,2008-09-01,15,6300
2270,2008-09-01,10,4200
2285,2008-10-01,25,12862.5
2287,2008-10-01,10,2700
2291,2008-10-01,9,3510
2295,2008-09-01,22,11880
2310,2008-10-01,19,6480
2311,2008-10-01,7,3685.5
2315,2008-10-01,15,6300
2326,2008-10-01,140,65856
2335,2008-10-01,60,19920
2340,2008-10-01,3,1260
2341,2008-10-01,10,2700
2353,2008-10-01,7,2940
2355,2008-10-01,2,780
2360,2008-10-01,5,2700
2365,2008-10-01,10,2700
2370,2008-10-01,25,9187.5
2371,2008-10-01,6,2520
2375,2008-10-01,15,4800
2380,2008-10-01,25,11340
2381,2008-10-01,25,12150
2382,2008-10-01,10,4095
2383,2008-10-01,35,20580
2386,2008-10-01,85,42997.5
2387,2008-10-01,25,8916
2395,2008-09-01,10,5400
2405,2008-11-01,6,1620
2406,2008-11-01,17,6961.5
2410,2008-10-01,17,7140
2411,2008-11-01,12,5040
2415,2008-11-01,3,1260
2420,2008-11-01,10,2700
2450,2008-11-01,30,15876
2455,2008-11-01,7,3780
2460,2008-11-01,70,36015
2466,2008-11-01,11,4620
2470,2008-11-01,60,33660
2475,2008-11-01,30,11025
2485,2008-11-01,15,8100
2486,2008-11-01,18,8220
2487,2008-12-01,65,31132.5
2490,2008-12-01,12,3540
2495,2008-12-01,27,8706
2500,2008-12-01,7,2940
2506,2008-12-01,45,17766
2510,2008-12-01,50,16875
2515,2008-12-01,13,5460
2516,2008-12-01,130,57315
2525,2008-12-01,10,4200
2530,2008-12-01,30,12180
2532,2008-12-01,15,6300
2545,2008-12-01,20,10740
2550,2008-12-01,51,26239.5
2560,2008-12-01,25,10650
2575,2008-12-01,13,5460
2576,2008-12-01,20,10800
2577,2008-12-01,18,6060
2590,2008-12-01,8,4320
2591,2008-12-01,15,7965
2596,2008-12-01,15,4642.5
2597,2014-11-01,90,44982
2598,2008-12-01,30,14175
2601,2008-12-01,1,660
2608,2008-12-01,20,7980
2609,2008-12-01,90,32130
2610,2008-12-01,94,45599.4
2611,2008-12-01,25,2500
2616,2008-12-01,50,25725
2617,2008-12-01,25,4725
2631,2008-12-01,230,111573
2632,2008-12-01,50,23100
2640,2009-01-01,25,13230
2645,2009-01-01,6,1620
2646,2008-12-01,29,9462
2647,2009-01-01,74,34965
2650,2008-12-01,50,18249
2655,2009-01-01,26,10342.5
2660,2009-01-01,21,9660
2666,2009-01-01,10,4200
2671,2009-01-01,3,1620
2673,2008-12-01,355,114502.5
2676,2009-01-01,20,8400
2683,2009-01-01,15,8100
2691,2009-01-01,300,138180
2692,2009-01-01,25,2499.99
2696,2008-12-01,30,11340
2701,2009-01-01,53,20385
2702,2009-01-01,5,2100
2706,2009-01-01,7,3780
2707,2009-01-01,100,37905
2721,2009-02-01,3,810
2726,2009-02-01,25,2499.99
2731,2009-02-01,25,2499.99
2736,2009-02-01,40,15120
2741,2009-02-01,15,6300
2746,2009-02-01,60,22050
2751,2009-02-01,38,14742
2756,2009-02-01,105,45427.5
2757,2009-02-01,149,67899.3
2758,2009-02-01,97,45717
2759,2009-02-01,36,13986
2761,2009-02-01,36,19051.2
2766,2009-02-01,16,6961.5
2771,2009-03-01,20,8400
2772,2009-02-01,34,12852
2776,2009-02-01,17,10996
2786,2009-03-01,25,9450
2791,2009-02-01,69,25819.5
2796,2009-03-01,33,15618
2801,2009-03-01,15,8100
2806,2009-03-01,75,36382.5
2807,2009-03-01,14,4380
2808,2009-03-01,17,6783
2812,2009-03-01,35,11362.5
2816,2009-03-01,5,1350
2817,2009-03-01,196,65856
2822,2009-03-01,100,48510
2823,2009-03-01,20,6690
2828,2009-03-01,30,15435
2831,2009-03-01,42,15435
2841,2009-03-01,15,4800
2846,2009-03-01,20,6900
2851,2009-03-01,14,6660
2856,2009-03-01,85,33600
2861,2009-03-01,15,8100
2869,2009-03-01,25,2499.99
2870,2009-03-01,36,13608
2871,2009-03-01,6,2520
2872,2009-04-01,9,3780
2881,2009-03-01,80,17904
2882,2009-03-01,30,12600
2883,2009-03-01,20,8400
2891,2009-03-01,225,97200
2896,2009-04-01,19,9747
2901,2009-04-01,18,7560
2906,2009-04-01,20,9961.05
2916,2009-04-01,10,3685.5
2917,2009-04-01,50,17850
2921,2009-04-01,9,4860
2926,2009-04-01,50,24165
2931,2009-04-01,12,4980
2936,2009-04-01,21,7320
2941,2009-04-01,10,3900
2942,2009-04-01,62,30076.2
2946,2009-04-01,525,156588.8
2951,2009-04-01,25,2500
2952,2009-04-01,30,9187.5
2956,2009-04-01,10,5400
2961,2009-04-01,89,32539.5
2966,2009-04-01,25,9450
2971,2009-04-01,14,7560
2976,2009-04-01,9,3780
2981,2009-04-01,12,5040
2982,2009-04-01,50,18900
2983,2009-04-01,750,174e3
2986,2009-04-01,25,7950
2991,2009-04-01,25,2499.99
2996,2009-04-01,20,10800
3004,2009-04-01,1150,431388
3020,2009-05-01,25,2500
3030,2009-05-01,2,540
3034,2009-05-01,175,77222
3049,2009-04-01,11,4504.5
3054,2009-05-01,20,8400
3055,2009-05-01,39,18642
3060,2009-05-01,20,8400
3064,2009-05-01,126,54495
3065,2009-05-01,75,37485
3066,2009-05-01,55,28297.5
3069,2009-05-01,25,2499.99
3070,2009-05-01,50,23625
3075,2009-05-01,17,9996
3079,2009-05-01,25,2500
3080,2009-05-01,435,146475
3085,2009-06-01,15,5220
3086,2009-05-01,19,7980
3089,2009-06-01,30,15876
3094,2009-06-01,54,26488.8
3095,2009-06-01,12,5460
3099,2009-06-01,10,3900
3100,2009-05-01,58,21714
3101,2009-06-01,4,1080
3102,2009-06-01,25,9450
3110,2009-06-01,100,45180.04
3119,2009-06-01,7,2940
3125,2009-06-01,30,14580
3129,2009-06-01,41,22903
3130,2009-06-01,65,28215
3132,2009-06-01,134,54e3
3134,2009-06-01,16,6720
3136,2009-06-01,10,2940
3138,2009-06-01,78,38984.4
3143,2009-06-01,32,6361.28
3144,2009-06-01,6,1620
3148,2009-06-01,250,106045.35
3153,2009-06-01,50,18375
3154,2009-06-01,201,68812.8
3155,2009-06-01,655,254895
3158,2009-07-01,4,1080
3163,2009-07-01,15,6300
3164,2009-07-01,15,6300
3173,2009-07-01,34,14196
3178,2009-07-01,6,2520
3188,2009-07-01,10,4200
3193,2009-07-01,26,12040.01
3203,2009-07-01,25,2500
3209,2009-07-01,36,13608
3211,2009-07-01,15,4300.01
3213,2009-07-01,25,2499.99
3218,2009-07-01,99,46778
3223,2009-07-01,15,6300
3228,2009-07-01,10,3159
3229,2009-07-01,155,37788.76
3230,2009-07-01,90,22275
3233,2009-07-01,13,5460
3234,2009-07-01,802,320971
3238,2009-07-01,26,9828
3239,2009-07-01,15,8100
3243,2009-07-01,75,21315
3248,2009-07-01,10,2200.01
3249,2009-08-01,39,14742
3253,2009-07-01,15,4300.01
3254,2009-07-01,31,14731.2
3255,2009-07-01,16,4720.01
3258,2009-08-01,40,15120
3263,2009-07-01,15,4300.01
3268,2009-08-01,20,6690
3269,2009-07-01,25,11812.5
3270,2009-07-01,200,94080
3273,2009-08-01,25,2499.99
3274,2009-08-01,5,2100
3278,2009-08-01,25,2499.99
3289,2009-08-01,16,6720
3298,2009-09-01,40,15120
3299,2009-09-01,25,2500
3303,2009-08-01,10,5880
3323,2009-09-01,76,36867.600000000006
3338,2009-08-01,13,5460
3339,2009-08-01,7,2940
3340,2009-09-01,25,12862.5
3343,2009-08-01,120,40320
3348,2009-09-01,3,1260
3353,2009-09-01,42,13985
3358,2009-09-01,40,14700
3359,2009-08-01,25,11500.51
3360,2009-09-01,25,9187.5
3361,2009-08-01,120,46314
3363,2009-09-01,18,11584
3364,2009-09-01,25,14580
3365,2009-09-01,25,9450
3378,2009-09-01,6,1770
3380,2009-09-01,6,2520
3384,2009-08-01,30,10470
3385,2009-10-01,25,13230
3388,2009-09-01,10,2700
3398,2009-10-01,20,6900
3399,2009-09-01,20,8400
3403,2009-10-01,25,2499.99
3408,2009-09-01,12,4800
3409,2009-10-01,12,3540
3410,2009-09-01,18,7640
3412,2009-10-01,3,1260
3413,2009-10-01,25,2499.99
3429,2009-10-01,10,1800.12
3433,2009-10-01,110,53920
3438,2009-10-01,11,6468
3445,2009-10-01,5,2100
3449,2009-10-01,200,0
3453,2009-10-01,5,1350
3454,2009-10-01,13,5292
3463,2009-10-01,65,33442.5
3468,2009-08-01,35,16537.5
3473,2009-10-01,34,17679
3478,2009-10-01,25,13338
3483,2009-10-01,75,26985
3488,2009-10-01,41,13343.14
3489,2009-10-01,100,44664
3490,2009-10-01,31,13147.5
3498,2009-11-01,25,2500
3504,2009-10-01,735,297648
3508,2009-11-01,180,87318
3513,2009-11-01,35,18154.5
